Rank,Unique Visitors (users),Page Views,Reach,Site,Category,Has Advertising
425,8200000,50000000,0.5%,ccbill.com,Merchant Services & Payment Systems,No
426,8200000,210000000,0.5%,incredimail.com,Email & Messaging,Yes
427,8200000,410000000,0.5%,capitalone.com,Banking & Personal Finance,No
428,8200000,110000000,0.5%,yellowpages.com,Business & Personal Listings,Yes
429,8200000,38000000,0.5%,geocities.co.jp,Web Hosting & Domain Registration,Yes
430,8200000,660000000,0.5%,ebay.it,Programming,Yes
431,8200000,34000000,0.5%,glispa.com,Home Improvement,No
432,8200000,140000000,0.5%,hotels.com,Hotels & Accommodations,Yes
433,8200000,60000000,0.5%,opendns.com,Web Hosting & Domain Registration,No
434,8100000,110000000,0.5%,engadget.com,Technology News,Yes
435,8100000,140000000,0.5%,chosun.com,Newspapers,Yes
436,8100000,720000000,0.5%,y8.com,Online Games,Yes
437,8100000,42000000,0.5%,ourtoolbar.com,Internet Clients & Browsers,No
438,8100000,66000000,0.5%,oricon.co.jp,Health Conditions,Yes
439,8100000,34000000,0.5%,downloadhelper.net,Audio & Multimedia,No
440,8100000,870000000,0.5%,oyunlar1.com,Online Games,Yes
441,8100000,73000000,0.5%,vector.co.jp,Software,Yes
442,8100000,73000000,0.5%,cmbchina.com,Banking & Personal Finance,Yes
443,8100000,960000000,0.5%,farmville.com,Crafts,No
444,8100000,34000000,0.5%,120ask.com,Reproductive Health,Yes
445,8100000,140000000,0.5%,chip.de,Computers & Electronics,Yes
446,8100000,170000000,0.5%,atwiki.jp,Blogging Resources & Services,Yes
447,8100000,160000000,0.5%,zhaopin.com,Jobs,No
448,8100000,24000000,0.5%,unkar.org,Forum & Chat Providers,No
449,8100000,120000000,0.5%,freeonlinegames.com,Online Games,Yes
450,8100000,120000000,0.5%,wordpress.org,Blogging Resources & Services,No
451,8100000,88000000,0.5%,latimes.com,Newspapers,Yes
452,7600000,880000000,0.5%,fotolog.com,Photo & Video Sharing,Yes
453,7600000,590000000,0.5%,fastbrowsersearch.com,Video Clips & Movie Downloads,No
454,7600000,110000000,0.5%,mp3raid.com,Music Streams & Downloads,No
455,7500000,280000000,0.5%,pagesjaunes.fr,Online Directories,No
456,7500000,160000000,0.5%,boston.com,Newspapers,Yes
457,7500000,1300000000,0.5%,mobile.de,Vehicle Shopping,No
458,7500000,45000000,0.5%,webry.info,Government & Regulatory Bodies,Yes
459,7500000,66000000,0.5%,5d6d.com,Forum & Chat Providers,Yes
460,7500000,170000000,0.5%,aufeminin.com,Women's Interests,Yes
461,7500000,41000000,0.5%,wikihow.com,Dating & Relationships,Yes
462,7500000,120000000,0.5%,11st.co.kr,Science Fiction & Fantasy Films,No
463,7500000,61000000,0.5%,yaplog.jp,Blogging Resources & Services,Yes
464,7500000,89000000,0.5%,passport.net,Email & Messaging,No
465,7500000,88000000,0.5%,merriam-webster.com,Dictionaries & Encyclopedias,Yes
466,7500000,60000000,0.5%,itmedia.co.jp,Technology News,No
467,7500000,310000000,0.5%,cookpad.com,Food & Drink,Yes
468,7500000,590000000,0.5%,mercadolivre.com.br,Car Stereo,No
469,7500000,120000000,0.5%,tu.tv,Photo & Video Sharing,Yes
470,7500000,23000000,0.5%,wauee.com,,No
471,7500000,260000000,0.5%,priceline.com,Travel,Yes
472,7500000,67000000,0.5%,zshare.net,File Sharing & Hosting,Yes
473,7500000,370000000,0.5%,cooliris.com,Blogging Resources & Services,No
474,7500000,60000000,0.5%,qunar.com,Air Travel,Yes
475,7500000,140000000,0.5%,ryanair.com,Air Travel,Yes
476,7500000,730000000,0.5%,interia.pl,Web Portals,Yes
477,7500000,790000000,0.5%,ig.com.br,Local News,Yes
478,7500000,250000000,0.5%,monster.com,Jobs,Yes
479,7400000,130000000,0.5%,archive.org,Programming,No
480,7400000,280000000,0.5%,alice.it,Entertainment,Yes
481,7400000,34000000,0.5%,xinmin.cn,Newspapers,Yes
482,7400000,49000000,0.5%,fixya.com,Tech Support,Yes
483,7400000,120000000,0.5%,nikkansports.com,Sports,Yes
484,7400000,55000000,0.5%,funshion.com,Movies,Yes
485,7400000,41000000,0.5%,vnet.cn,Web Portals,Yes
486,7400000,250000000,0.5%,sears.com,Home Appliances,No
487,7400000,400000000,0.5%,bild.de,Gossip & Tabloids,Yes
488,7400000,1100000000,0.5%,ebay.fr,Auctions,No
489,7400000,340000000,0.5%,iminent.com,Email & Messaging,Yes
490,7400000,72000000,0.5%,uploading.com,File Sharing & Hosting,No
491,7400000,31000000,0.5%,baofeng.com,Audio & Multimedia,No
492,7400000,60000000,0.5%,1ting.com,Music,No
493,7400000,450000000,0.5%,macys.com,Mass Merchants & Department Stores,No
494,7400000,60000000,0.5%,kuwo.cn,,No
495,7400000,120000000,0.5%,bitauto.com,Vehicle Shopping,Yes
496,7400000,89000000,0.5%,tiexue.net,Military,Yes
497,7400000,42000000,0.5%,mpnrs.com,,No
498,7400000,38000000,0.5%,nowdownloadall.com,E-Books,No
499,7400000,280000000,0.5%,southwest.com,Air Travel,No
500,7400000,34000000,0.5%,ce.cn,Business News,Yes
501,7400000,89000000,0.5%,in.com,Investing,Yes
502,7400000,190000000,0.5%,allrecipes.com,Cooking & Recipes,Yes
503,7400000,81000000,0.5%,novoteka.ru,Politics,No
504,7400000,280000000,0.5%,travelocity.com,Travel,Yes
505,7400000,540000000,0.5%,people.com,Celebrities,No
506,7400000,97000000,0.5%,timesonline.co.uk,Newspapers,Yes
507,7400000,37000000,0.5%,dealtime.com,Price Comparisons,No
508,7300000,310000000,0.5%,ticketmaster.com,Ticket Sales,No
509,7300000,120000000,0.5%,mtv.com,Music,Yes
510,7300000,450000000,0.5%,gazeta.pl,Newspapers,Yes
511,6900000,42000000,0.4%,bin-layer.de,,No
512,6900000,41000000,0.4%,9wee.com,Mass Merchants & Department Stores,No
513,6800000,81000000,0.4%,donga.com,Newspapers,Yes
514,6800000,230000000,0.4%,lowes.com,Home Improvement,No
515,6800000,61000000,0.4%,fanpop.com,Social Networks,Yes
516,6800000,21000000,0.4%,cnxad.com,Search Engine Optimization & Marketing,No
517,6800000,41000000,0.4%,angelfire.com,Web Hosting & Domain Registration,Yes
518,6800000,130000000,0.4%,blackberry.com,Mobile & Wireless,No
519,6800000,130000000,0.4%,01net.com,Technology News,Yes
520,6800000,190000000,0.4%,wunderground.com,Weather,Yes
521,6800000,37000000,0.4%,news.cn,News & Current Events,No
522,6800000,74000000,0.4%,linksynergy.com,Affiliate Programs,No
523,6800000,370000000,0.4%,sapo.pt,Newspapers,Yes
524,6800000,34000000,0.4%,deviantart.net,Restaurants,No
525,6800000,67000000,0.4%,nydailynews.com,News Networks,No
526,6800000,60000000,0.4%,mtime.com,Movies,Yes
527,6800000,300000000,0.4%,univision.com,Latinos & Latin-Americans,Yes
528,6800000,950000000,0.4%,sfr.fr,Service Providers,Yes
529,6800000,55000000,0.4%,winamp.com,Audio & Multimedia,Yes
530,6800000,120000000,0.4%,webshots.com,Photo & Video Sharing,Yes
531,6800000,37000000,0.4%,enet.com.cn,Computers & Electronics,Yes
532,6800000,61000000,0.4%,made-in-china.com,Manufacturing,No
533,6800000,280000000,0.4%,constantcontact.com,Email & Messaging,Yes
534,6800000,67000000,0.4%,examiner.com,News & Current Events,Yes
535,6800000,67000000,0.4%,pandora.tv,Entertainment,No
536,6800000,300000000,0.4%,abril.com.br,Magazines,Yes
537,6700000,340000000,0.4%,indeed.com,Jobs,Yes
538,6700000,280000000,0.4%,overstock.com,Shopping,Yes
539,6700000,37000000,0.4%,xywy.com,Health,Yes
540,6700000,73000000,0.4%,gizmodo.com,Computers & Electronics,Yes
541,6700000,38000000,0.4%,wiktionary.org,Dictionaries & Encyclopedias,No
542,6700000,73000000,0.4%,shinobi.jp,Web Hosting & Domain Registration,Yes
543,6700000,1000000000,0.4%,pandora.com,Music Streams & Downloads,Yes
544,6700000,55000000,0.4%,dianping.com,Restaurants,Yes
545,6700000,410000000,0.4%,repubblica.it,Wine,Yes
546,6700000,31000000,0.4%,360doc.com,Social Science,Yes
547,6700000,37000000,0.4%,duote.com,Software,Yes
548,6700000,23000000,0.4%,176.com,Online Games,No
549,6700000,88000000,0.4%,intel.com,Chips & Processors,No
550,6700000,210000000,0.4%,accountonline.com,Merchant Services & Payment Systems,No
551,6700000,25000000,0.4%,aibang.com,Regional Content,Yes
552,6700000,120000000,0.4%,altervista.org,Online Communities,Yes
553,6700000,28000000,0.4%,rapid-downloads.com,,No
554,6700000,110000000,0.4%,xe.com,Currencies & Foreign Exchange,Yes
555,6700000,130000000,0.4%,pixnet.net,Food & Drink,Yes
556,6700000,28000000,0.4%,wareseeker.com,Software,Yes
557,6700000,190000000,0.4%,ebuddy.com,Email & Messaging,Yes
558,6700000,73000000,0.4%,radikal.ru,Photo & Video Sharing,No
559,6600000,24000000,0.4%,webgame.com.cn,Video Games,No
560,6200000,370000000,0.4%,jcpenney.com,Apparel,No
561,6200000,97000000,0.4%,armorgames.com,Online Games,Yes
562,6200000,31000000,0.4%,information.com,Arts & Humanities,No
563,6200000,46000000,0.4%,downloadcave.com,Geology,No
564,6200000,230000000,0.4%,orbitz.com,Air Travel,Yes
565,6200000,280000000,0.4%,ca.gov,Government & Regulatory Bodies,Yes
566,6200000,370000000,0.4%,zaycev.net,Mobile & Wireless,No
567,6200000,210000000,0.4%,imvu.com,Email & Messaging,Yes
568,6200000,67000000,0.4%,rian.ru,News & Current Events,Yes
569,6200000,29000000,0.4%,usagc.org,Visa & Immigration,No
570,6200000,1700000000,0.4%,metroflog.com,Social Networks,Yes
571,6200000,110000000,0.4%,medicinenet.com,Medical Literature & Resources,No
572,6200000,170000000,0.4%,classmates.com,K-12,No
573,6200000,25000000,0.4%,windowsmedia.com,Music Streams & Downloads,No
574,6200000,65000000,0.4%,detik.com,Indonesia,No
575,6200000,26000000,0.4%,mk.co.kr,Business,No
576,6200000,55000000,0.4%,microsofttranslator.com,Language Study & Translation,No
577,6200000,790000000,0.4%,verizon.net,Online Games,Yes
578,6200000,340000000,0.4%,cartoonnetwork.com,Cartoons,Yes
579,6200000,31000000,0.4%,mt.co.kr,Investing,Yes
580,6200000,23000000,0.4%,fangeye.com,,No
581,6200000,540000000,0.4%,rr.com,ISPs,Yes
582,6200000,31000000,0.4%,fresheye.com,News & Current Events,No
583,6200000,140000000,0.4%,sweetim.com,Online Goodies,Yes
584,6200000,160000000,0.4%,stumbleupon.com,Web Services,Yes
585,6200000,170000000,0.4%,myvideo.de,Photo & Video,Yes
586,6200000,89000000,0.4%,hotpepper.jp,Restaurants,No
587,6200000,37000000,0.4%,pcgames.com.cn,Online Games,No
588,6200000,170000000,0.4%,costco.com,Mass Merchants & Department Stores,No
589,6200000,73000000,0.4%,uploaded.to,Web Hosting & Domain Registration,No
590,6200000,41000000,0.4%,xiaonei.com,Social Networks,No
591,6200000,310000000,0.4%,24h.com.vn,Vietnam,No
592,6200000,31000000,0.4%,cncmax.cn,Web Portals,Yes
593,6200000,170000000,0.4%,mafiawars.com,Roleplaying Games,No
594,6200000,160000000,0.4%,priceminister.com,Price Comparisons,No
595,6200000,56000000,0.4%,w3.org,Web Design & Development,Yes
596,6100000,250000000,0.4%,nhaccuatui.com,Music,Yes
597,6100000,500000000,0.4%,vnexpress.net,Vietnam,No
598,6100000,28000000,0.4%,foxnetworks.com,Web Design & Development,No
599,6100000,60000000,0.4%,freakshare.net,File Sharing & Hosting,No
600,6100000,370000000,0.4%,rutracker.org,Video Clips & Movie Downloads,No
601,6100000,210000000,0.4%,elmundo.es,News & Current Events,Yes
602,6100000,42000000,0.4%,torrentreactor.net,File Sharing & Hosting,No
603,6100000,41000000,0.4%,best-price.com,Price Comparisons,No
604,6100000,99000000,0.4%,nasa.gov,Astronomy,No
605,6100000,16000000,0.4%,mdinfo.com,Health,No
606,6100000,61000000,0.4%,limewire.com,File Sharing & Hosting,No
607,6100000,3400000000,0.4%,wer-kennt-wen.de,Social Networks,Yes
608,6100000,140000000,0.4%,nikkei.com,Newspapers,No
609,6100000,66000000,0.4%,51seer.com,Video Games,No
610,6100000,300000000,0.4%,gap.com,Clothing Retailers,No
611,6100000,88000000,0.4%,wiley.com,Rental Listings & Referrals,Yes
612,6100000,88000000,0.4%,time.com,Magazines,Yes
613,6100000,72000000,0.4%,elsevier.com,Science,Yes
614,6100000,66000000,0.4%,howstuffworks.com,How-To & Expert Content,Yes
615,6100000,140000000,0.4%,agame.com,Online Games,Yes
616,6100000,73000000,0.4%,che168.com,Automotive,No
617,6100000,310000000,0.4%,corriere.it,Newspapers,Yes
618,6100000,23000000,0.4%,xorg.pl,Web Hosting & Domain Registration,Yes
619,6100000,600000000,0.4%,wachovia.com,Banking & Personal Finance,Yes
620,6100000,140000000,0.4%,thesun.co.uk,Newspapers,Yes
621,6100000,280000000,0.4%,girlsgogames.com,Video Games,Yes
622,6100000,34000000,0.4%,piriform.com,Software Utilities,No
623,6100000,56000000,0.4%,chinaren.com,Clubs & Nightlife,Yes
624,6100000,170000000,0.4%,rbc.ru,Banking & Personal Finance,No
625,6100000,340000000,0.4%,spiegel.de,Magazines,Yes
626,6100000,79000000,0.4%,tbs.co.jp,TV,Yes
627,6100000,130000000,0.4%,europa.eu,Government & Regulatory Bodies,No
628,6100000,190000000,0.4%,btjunkie.org,File Sharing & Hosting,No
629,6100000,41000000,0.4%,vancl.com,Apparel,No
630,6100000,270000000,0.4%,citibank.com,Credit Cards,Yes
631,6100000,230000000,0.4%,clubpenguin.com,Cheats & Hints,No
632,6100000,300000000,0.4%,verizon.com,Service Providers,Yes
633,6100000,110000000,0.4%,forbes.com,Business News,Yes
634,6000000,21000000,0.4%,huanlang.com,,No
635,6000000,330000000,0.4%,delta.com,Air Travel,No
636,6000000,370000000,0.4%,sky.com,Marketing Services,Yes
637,5700000,130000000,0.4%,nikkei.co.jp,Newspapers,No
638,5700000,45000000,0.4%,norton.com,Antivirus & Malware,No
639,5700000,37000000,0.4%,rapid4me.com,File Sharing & Hosting,No
640,5700000,1500000000,0.4%,seznam.cz,Internet,Yes
641,5700000,280000000,0.4%,zoosk.com,Personals,No
642,5700000,42000000,0.4%,jstor.org,History,No
643,5700000,67000000,0.4%,19lou.com,Forum & Chat Providers,Yes
644,5700000,450000000,0.4%,juegos.com,Video Games,Yes
645,5700000,230000000,0.4%,easyjet.com,Air Travel,No
646,5700000,3300000000,0.4%,hyves.nl,Social Networks,Yes
647,5700000,55000000,0.4%,cbsnews.com,News Networks,Yes
648,5600000,66000000,0.4%,yoka.com,Apparel,Yes
649,5600000,60000000,0.4%,mylife.com,Personals,No
650,5600000,61000000,0.4%,jrj.com.cn,Investing,Yes
651,5600000,51000000,0.4%,xmarks.com,Internet Clients & Browsers,Yes
652,5600000,38000000,0.4%,businessweek.com,Business,Yes
653,5600000,50000000,0.4%,partypoker.it,Cards & Casino Games,No
654,5600000,160000000,0.4%,shop-pro.jp,Web Services,Yes
655,5600000,250000000,0.4%,taleo.net,Jobs,Yes
656,5600000,300000000,0.4%,dantri.com.vn,Vietnam,Yes
657,5600000,110000000,0.4%,ovi.com,Mobile Phones,No
658,5600000,37000000,0.4%,pcworld.com,Computers & Electronics,Yes
659,5600000,120000000,0.4%,xcar.com.cn,Automotive,No
660,5600000,130000000,0.4%,chinaz.com,Search Engines,No
661,5600000,190000000,0.4%,nike.com,Footwear,No
662,5600000,120000000,0.4%,ya.ru,Search Engines,Yes
663,5600000,600000000,0.4%,picnik.com,Photo & Video Software,Yes
664,5600000,300000000,0.4%,pchome.com.tw,Web Portals,Yes
665,5600000,81000000,0.4%,with2.net,Online Communities,No
666,5600000,970000000,0.4%,pogo.com,Online Games,Yes
667,5600000,28000000,0.4%,fanbox.com,Sports,No
668,5600000,67000000,0.4%,95599.cn,Banking & Personal Finance,No
669,5600000,160000000,0.4%,evite.com,Cards & Greetings,Yes
670,5600000,17000000,0.4%,159game.com,,No
671,5600000,31000000,0.4%,hankooki.com,Business,No
672,5600000,230000000,0.4%,stayfriends.de,Social Networks,Yes
673,5600000,19000000,0.4%,mozilla-europe.org,Internet Software,No
674,5600000,49000000,0.4%,gutefrage.net,Educational Resources,Yes
675,5600000,490000000,0.4%,logmein.com,Computer Security,No
676,5600000,120000000,0.4%,break.com,Humor & Bizarre,Yes
677,5600000,150000000,0.4%,paran.com,Web Portals,No
678,5600000,300000000,0.4%,mercadolibre.com.mx,Shopping Portals & Search Engines,No
679,5600000,160000000,0.4%,wrzuta.pl,Multimedia Content,Yes
680,5600000,90000000,0.4%,blogcu.com,Blogging Resources & Services,Yes
681,5600000,28000000,0.4%,winzip.com,Software Utilities,No
682,5600000,170000000,0.4%,bahn.de,Bus & Rail,No
683,5600000,23000000,0.4%,topshareware.com,Software,Yes
684,5600000,120000000,0.4%,acer.com,Western Europe,No
685,5600000,1100000000,0.4%,mynet.com,News & Current Events,Yes
686,5600000,54000000,0.4%,urbandictionary.com,Dictionaries & Encyclopedias,Yes
687,5600000,230000000,0.4%,sanook.com,Web Portals,Yes
688,5600000,45000000,0.4%,rayfile.com,File Sharing & Hosting,Yes
689,5600000,51000000,0.4%,usenet.nl,Forum & Chat Providers,No
690,5600000,23000000,0.4%,encyclopedia.com,Dictionaries & Encyclopedias,Yes
691,5600000,87000000,0.4%,imagevenue.com,Photo & Video Sharing,No
692,5600000,120000000,0.4%,qip.ru,Programming,Yes
693,5600000,74000000,0.4%,discovery.com,TV Networks,Yes
694,5600000,190000000,0.4%,yam.com,Web Portals,Yes
695,5600000,80000000,0.4%,265.com,Online Directories,No
696,5600000,42000000,0.4%,mashable.com,Technology News,Yes
697,5600000,160000000,0.4%,me.com,Social Networks,Yes
698,5600000,280000000,0.4%,yandex.ua,Real Estate,No
699,5600000,160000000,0.4%,foodnetwork.com,Cooking & Recipes,Yes
700,5600000,31000000,0.4%,freewebs.com,Web Hosting & Domain Registration,Yes
701,5600000,81000000,0.4%,sonyericsson.com,Mobile Phones,No
702,5600000,67000000,0.4%,61.com,Online Games,No
703,5600000,34000000,0.4%,articlesbase.com,Educational Resources,Yes
704,5600000,61000000,0.4%,ct10000.com,Service Providers,No
705,5600000,170000000,0.4%,mufg.jp,Banking & Personal Finance,No
706,5600000,66000000,0.4%,xrea.com,Web Services,Yes
707,5600000,28000000,0.4%,chinacars.com,Automotive,Yes
708,5600000,34000000,0.4%,cri.cn,News & Current Events,Yes
709,5600000,280000000,0.4%,movies-links.tv,Movies,No
710,5600000,880000000,0.4%,match.com,Dating & Relationships,No
711,5600000,46000000,0.4%,blogbus.com,Blogging Resources & Services,Yes
712,5500000,600000000,0.4%,livescore.com,Soccer,No
713,5500000,46000000,0.4%,zhcw.com,Lotto & Sweepstakes,Yes
714,5500000,1100000000,0.4%,ebay.com.au,Auctions,Yes
715,5500000,280000000,0.4%,istockphoto.com,Stock Photography,No
716,5500000,28000000,0.4%,speedtest.net,Web Stats & Analytics,Yes
717,5500000,46000000,0.4%,windowslivehelp.com,Email & Messaging,No
718,5500000,250000000,0.4%,sprint.com,Service Providers,Yes
719,5500000,50000000,0.4%,superpages.com,Business & Personal Listings,No
720,5500000,130000000,0.4%,infospace.com,Search Engines,No
721,5500000,160000000,0.4%,accuweather.com,Weather,Yes
722,5500000,140000000,0.4%,doctissimo.fr,Health,Yes
723,5500000,50000000,0.4%,openv.com,Video Clips & Movie Downloads,No
724,5500000,55000000,0.4%,msn.com.cn,Travel,Yes
725,5500000,300000000,0.4%,t-mobile.com,Mobile Phones,No
726,5500000,7800000000,0.4%,tuenti.com,Social Networks,No
727,5500000,310000000,0.4%,tmz.com,Celebrities,Yes
728,5500000,340000000,0.4%,otto.de,Mass Merchants & Department Stores,No
729,5500000,34000000,0.4%,gemius.pl,Demographics,No
730,5500000,80000000,0.4%,shoplocal.com,Shopping Portals & Search Engines,Yes
731,5500000,140000000,0.4%,barnesandnoble.com,Book Retailers,Yes
732,5500000,38000000,0.4%,pclady.com.cn,Beauty & Personal Care,Yes
733,5500000,300000000,0.4%,ninemsn.com.au,Web Portals,Yes
734,5500000,26000000,0.4%,wanfangdata.com.cn,Computers & Electronics,No
735,5500000,19000000,0.4%,51fswd.com,Online Games,No
736,5500000,61000000,0.4%,programas-gratis.net,Computers & Electronics,Yes
737,5500000,50000000,0.4%,pronto.com,Price Comparisons,No
738,5500000,110000000,0.4%,baixing.com,Classifieds,Yes
739,5500000,140000000,0.4%,worldstarhiphop.com,Urban & Hip-Hop,Yes
740,5500000,310000000,0.4%,yahoo.com.tw,Shopping Portals & Search Engines,No
741,5200000,18000000,0.3%,cnki.com.cn,Magazines,No
742,5200000,61000000,0.3%,w3schools.com,Web Design & Development,Yes
743,5200000,37000000,0.3%,unlimited-downloads.biz,,No
744,5200000,50000000,0.3%,qq163.com,Music,Yes
745,5100000,330000000,0.3%,carview.co.jp,Automotive,Yes
746,5100000,34000000,0.3%,zjol.com.cn,Local News,Yes
747,5100000,1900000000,0.3%,bebo.com,Social Networks,Yes
748,5100000,73000000,0.3%,delicious.com,Business Schools & Training,No
749,5100000,170000000,0.3%,hinet.net,Online Games,Yes
750,5100000,28000000,0.3%,buzzle.com,News & Current Events,Yes
751,5100000,2700000000,0.3%,schuelervz.net,Social Networks,Yes
752,5100000,96000000,0.3%,nationalgeographic.com,Magazines,Yes
753,5100000,50000000,0.3%,local.com,Search Engines,Yes
754,5100000,67000000,0.3%,tv.com,TV Programs,Yes
755,5100000,170000000,0.3%,kaskus.us,Indonesia,Yes
756,5100000,600000000,0.3%,etsy.com,Crafts,No
757,5100000,28000000,0.3%,eastday.com,Military,Yes
758,5100000,21000000,0.3%,shumenol.com,Astrology & Divination,No
759,5100000,50000000,0.3%,sendspace.com,File Sharing & Hosting,No
760,5100000,38000000,0.3%,citysearch.com,Restaurants,Yes
761,5100000,46000000,0.3%,zaobao.com,News & Current Events,Yes
762,5100000,280000000,0.3%,ed.gov,Education,No
763,5100000,190000000,0.3%,irctc.co.in,Vacation Destinations,No
764,5100000,28000000,0.3%,downtr.net,Software,Yes
765,5100000,260000000,0.3%,laredoute.fr,Apparel,Yes
766,5100000,89000000,0.3%,playstation.com,Video Games,No
767,5100000,190000000,0.3%,elpais.com,Newspapers,No
768,5100000,34000000,0.3%,utorrent.com,File Sharing & Hosting,No
769,5100000,90000000,0.3%,blogmura.com,Blogging Resources & Services,Yes
770,5100000,26000000,0.3%,mapbar.com,China,Yes
771,5100000,130000000,0.3%,readnovel.com,E-Books,Yes
772,5100000,31000000,0.3%,m1905.com,TV Networks,No
773,5100000,160000000,0.3%,marriott.com,Hotels & Accommodations,No
774,5100000,54000000,0.3%,popeater.com,TV Programs,No
775,5100000,67000000,0.3%,jsoftj.com,Computers & Electronics,Yes
776,5100000,28000000,0.3%,tweetmeme.com,Disasters,Yes
777,5100000,340000000,0.3%,hm.com,Business,No
778,5100000,67000000,0.3%,travelzoo.com,Air Travel,No
779,5100000,34000000,0.3%,torrentdownloads.net,File Sharing & Hosting,No
780,5100000,250000000,0.3%,izlesene.com,Video Clips & Movie Downloads,No
781,5100000,1400000000,0.3%,studivz.net,Social Networks,Yes
782,5100000,160000000,0.3%,hilton.com,Hotels & Accommodations,Yes
783,5100000,46000000,0.3%,vietbao.vn,Music,No
784,5100000,120000000,0.3%,kayak.com,Travel,No
785,5100000,230000000,0.3%,zappos.com,Footwear,No
786,5100000,340000000,0.3%,realtor.com,Rental Listings & Referrals,No
787,5100000,12000000,0.3%,oadz.com,,No
788,5100000,23000000,0.3%,123people.com,Online Directories,Yes
789,5100000,46000000,0.3%,abchina.com,Banking & Personal Finance,No
790,5100000,29000000,0.3%,hurra.com,Internet,No
791,5100000,60000000,0.3%,slide.com,MySpace Codes & Graphics,Yes
792,5000000,23000000,0.3%,allexperts.com,How-To & Expert Content,Yes
793,5000000,230000000,0.3%,aa.com,Air Travel,Yes
794,5000000,80000000,0.3%,uuu9.com,Online Games,Yes
795,5000000,46000000,0.3%,symantecstore.com,Antivirus & Malware,No
796,5000000,190000000,0.3%,cricinfo.com,Cricket,Yes
797,5000000,55000000,0.3%,52pk.com,Online Games,Yes
798,5000000,120000000,0.3%,go2000.com,Web Services,No
799,5000000,17000000,0.3%,searchignite.com,,No
800,5000000,23000000,0.3%,chinadaily.com.cn,China,Yes
801,5000000,170000000,0.3%,newegg.com,Computers & Electronics,No
802,5000000,38000000,0.3%,timeanddate.com,Time & Calendars,Yes
803,5000000,410000000,0.3%,direct.gov.uk,United Kingdom,No
804,5000000,28000000,0.3%,pctools.com,Antivirus & Malware,No
805,5000000,73000000,0.3%,27.cn,Beauty & Personal Care,Yes
806,5000000,96000000,0.3%,tgbus.com,Video Games,Yes
807,5000000,31000000,0.3%,fc2web.com,Web Hosting & Domain Registration,Yes
808,5000000,16000000,0.3%,mozdev.org,Internet Clients & Browsers,Yes
809,5000000,330000000,0.3%,marca.com,Sports,Yes
810,5000000,190000000,0.3%,udn.com,Blogging Resources & Services,Yes
811,5000000,180000000,0.3%,amazon.fr,Book Retailers,No
812,5000000,21000000,0.3%,weblio.jp,Dictionaries & Encyclopedias,Yes
813,5000000,41000000,0.3%,changyou.com,Online Games,Yes
814,5000000,26000000,0.3%,daily.co.jp,Sports,Yes
815,5000000,55000000,0.3%,thefind.com,Shopping Portals & Search Engines,No
816,5000000,74000000,0.3%,nttdocomo.co.jp,Mobile Phones,No
817,5000000,300000000,0.3%,kohls.com,Mass Merchants & Department Stores,No
818,5000000,37000000,0.3%,walkerplus.com,Japan,Yes
819,5000000,170000000,0.3%,babycenter.com,Baby Care,Yes
820,5000000,26000000,0.3%,ow.ly,File Sharing & Hosting,No
821,5000000,21000000,0.3%,webgame188.com,,No
822,5000000,26000000,0.3%,toocle.com,E-Commerce,No
823,5000000,45000000,0.3%,webcrawler.com,Search Engines,No
824,4700000,41000000,0.3%,stackoverflow.com,Music,No
825,4700000,370000000,0.3%,ekolay.net,Web Portals,Yes
826,4700000,67000000,0.3%,kuronekoyamato.co.jp,Freight & Trucking,No
827,4700000,74000000,0.3%,vzw.com,Phone Service Providers,No
828,4700000,67000000,0.3%,buzznet.com,Blogging Resources & Services,Yes
829,4700000,110000000,0.3%,wetter.com,Weather,Yes
830,4700000,74000000,0.3%,dospy.com,Mobile & Wireless,Yes
831,4700000,410000000,0.3%,fidelity.com,Investing,No
832,4700000,80000000,0.3%,gismeteo.ru,Weather,Yes
833,4700000,50000000,0.3%,ft.com,Business Schools & Training,No
834,4700000,21000000,0.3%,freedownloadscenter.com,Software,Yes
835,4700000,17000000,0.3%,smarter.co.jp,Shopping Portals & Search Engines,No
836,4700000,88000000,0.3%,bidders.co.jp,Auctions,Yes
837,4700000,250000000,0.3%,tesco.com,Food Retailers,Yes
838,4700000,42000000,0.3%,azlyrics.com,Lyrics & Tabs,Yes
839,4700000,140000000,0.3%,legacy.com,Obituaries,Yes
840,4700000,170000000,0.3%,tf1.fr,TV,Yes
841,4700000,170000000,0.3%,nhl.com,Hockey,Yes
842,4700000,21000000,0.3%,mycom.co.jp,Technology News,Yes
843,4700000,140000000,0.3%,rtl.de,TV Programs,Yes
844,4700000,22000000,0.3%,hankyung.com,Newspapers,Yes
845,4700000,28000000,0.3%,edeng.cn,Classifieds,Yes
846,4700000,540000000,0.3%,immobilienscout24.de,Legal,Yes
847,4700000,34000000,0.3%,gigazine.net,News & Current Events,Yes
848,4700000,120000000,0.3%,marketwatch.com,Business News,Yes
849,4700000,89000000,0.3%,xuite.net,Web Hosting & Domain Registration,Yes
850,4700000,34000000,0.3%,techcrunch.com,Computers & Electronics,Yes
851,4600000,23000000,0.3%,inowdownload.com,Movies,No
852,4600000,450000000,0.3%,kooora.com,Football,Yes
853,4600000,28000000,0.3%,zdnet.com,Computers & Electronics,Yes
854,4600000,34000000,0.3%,causes.com,Medical Literature & Resources,No
