Name,% frequency,Approximate Number,Rank
HESTER,0.009,13663,938
CATHRYN,0.009,13663,939
LELIA,0.009,13663,940
CASANDRA,0.009,13663,941
BRIDGETT,0.009,13663,942
ANGELITA,0.009,13663,943
JANNIE,0.009,13663,944
DIONNE,0.009,13663,945
ANNMARIE,0.009,13663,946
KATINA,0.009,13663,947
BERYL,0.009,13663,948
PHOEBE,0.009,13663,949
MILLICENT,0.009,13663,950
KATHERYN,0.009,13663,951
DIANN,0.009,13663,952
CARISSA,0.009,13663,953
MARYELLEN,0.009,13663,954
LIZ,0.009,13663,955
LAURI,0.009,13663,956
HELGA,0.009,13663,957
GILDA,0.009,13663,958
ADRIAN,0.009,13663,959
RHEA,0.009,13663,960
MARQUITA,0.009,13663,961
HOLLIE,0.009,13663,962
TISHA,0.009,13663,963
TAMERA,0.009,13663,964
ANGELIQUE,0.009,13663,965
FRANCESCA,0.009,13663,966
BRITNEY,0.009,13663,967
KAITLIN,0.009,13663,968
LOLITA,0.009,13663,969
FLORINE,0.009,13663,970
ROWENA,0.009,13663,971
REYNA,0.009,13663,972
TWILA,0.009,13663,973
FANNY,0.009,13663,974
JANELL,0.009,13663,975
INES,0.009,13663,976
CONCETTA,0.009,13663,977
BERTIE,0.009,13663,978
ALBA,0.009,13663,979
BRIGITTE,0.009,13663,980
ALYSON,0.009,13663,981
VONDA,0.008,12145,982
PANSY,0.008,12145,983
ELBA,0.008,12145,984
NOELLE,0.008,12145,985
LETITIA,0.008,12145,986
KITTY,0.008,12145,987
DEANN,0.008,12145,988
BRANDIE,0.008,12145,989
LOUELLA,0.008,12145,990
LETA,0.008,12145,991
FELECIA,0.008,12145,992
SHARLENE,0.008,12145,993
LESA,0.008,12145,994
BEVERLEY,0.008,12145,995
ROBERT,0.008,12145,996
ISABELLA,0.008,12145,997
HERMINIA,0.008,12145,998
TERRA,0.008,12145,999
CELINA,0.008,12145,1000
"Read more at http://names.mongabay.com/female_names.htm#fKB4gq1tEHXFMFrf.99
Read more at http://names.mongabay.com/female_names.htm#fKB4gq1tEHXFMFrf.99
Read more at http://names.mongabay.com/female_names.htm#fKB4gq1tEHXFMFrf.99",,,
